tip	superfam
parlut1_3075_3076	Phoenix
blaper1_4139_4140_4141	Phoenix
blaper1_5625	Phoenix
psevol1_tyr9670	Phoenix
cocimm2_KMU79836.1_KMU79837.1	Phoenix
blaper1_3236	Phoenix
blaper1_4705	Phoenix
artunc1_KAF3492431.1	Phoenix
cocimm1_4716	Phoenix
uncree2_EEP82143.1	Phoenix
blagil1_OAT07656.1	Phoenix
aspawa1_tyr652	Phoenix
aspcri1_2283	Phoenix
aspluc3_tyr1878	Phoenix
aspasp13_tyr531	Phoenix
asplat1_tyr1608	Phoenix
aspfis5_tyr1169	Phoenix
asplen4_tyr1745	Phoenix
asphir2_tyr1512	Phoenix
talsti1_4534	Phoenix
suisub3_tyr10267	Phoenix
laspus1_KAA6408389.1_KAA6408390.1	Phoenix
umbpus1_107339	Phoenix
umbpus1_102502	Phoenix
bacgig1_KAG8531634.1	Phoenix
virvir1_581593	Phoenix
zoprhi1_KAF2174473.1	Phoenix
zoprhi1_KAF2179529.1	Phoenix
polfus1_527418	Phoenix
pyrtri10_PZD03750.1	Phoenix
parmin1_KAF9728395.1	Phoenix
metrob3_tyr8212	Phoenix
toloph1_tyr10453	Phoenix
pocchl3_OAQ60539.2	Phoenix
metacr1_9181	Phoenix
beabas1_10225	Phoenix
ilysp.2_681009	Phoenix
metmaj1_10173	Phoenix
podcom1_tyr9194	Phoenix
chasp.7_RMZ87469.1	Phoenix
exooli1_134015	Phoenix
rhimac1_8905	Phoenix
phachl1_4396	Phoenix
Phoenix_Mpha_mp053-Captain	Phoenix
macpha2_4023	Phoenix
paeniv1_69520	Phoenix
penoxa1_tyr8890	Phoenix
penrub2_KAF3021169.1	Phoenix
aspasp2_tyr552	Phoenix
zalvar1_685428	Phoenix
neopar1_6999	Phoenix
permac1_395901	Phoenix
tribis1_522931	Phoenix
tribis1_534205_534208	Phoenix
aspche2_tyr890	Hephaestus
aspgla1_OJJ83717.1	Hephaestus
aspaff1_tyr364	Hephaestus
penant1_1867_1868	Hephaestus
asplat6_tyr1695	Hephaestus
aspsyd2_tyr2767	Hephaestus
Starship-1_Afel-Captain	Hephaestus
Starship-1_Afum-Captain	Hephaestus
aspfum4_KMK55507.1	Hephaestus
aspnig10_tyr2036	Hephaestus
HEPHAESTUS_Pvar-Captain	Hephaestus
aspasp7_tyr611	Hephaestus
asplep2_tyr1807	Hephaestus
aspasp3_tyr574	Hephaestus
emeafr1_OAX78725.1_OAX78726.1	Hephaestus
Starship-1_Tmar-Captain	Hephaestus
talver1_KUL81284.1	Hephaestus
talisl1_2669	Hephaestus
talsti1_3815_3816	Hephaestus
aspbru4_tyr759	Hephaestus
erebil1_463208	Hephaestus
erebil1_472933_308236	Hephaestus
blader3_11177	Hephaestus
cocimm1_628	Hephaestus
aspell2_tyr1091	Tardis
penfla1_2705	Tardis
aspgla1_OJJ87743.1	Tardis
aspell2_tyr1084	Tardis
penste1_6620_6621	Tardis
penfla1_tyr8805	Tardis
aspind3_tyr1556	Tardis
penchr2_30653	Tardis
pensub1_tyr9007	Tardis
aspcro1_tyr1048	Tardis
asptan1_tyr2858	Tardis
aspscl4_RJE24476.1	Tardis
aspsp.1_RMJ24447.1	Tardis
asptam2_tyr2823	Tardis
asptra3_tyr2982	Tardis
aspfis5_tyr1178	Tardis
emepas2_OJD09711.1	Tardis
hiscap1_5846	Tardis
trimen1_4445	Tardis
triton1_666	Tardis
emmcre2_KKZ67376.1	Tardis
blagil1_tyr3501	Tardis
hiscap4_QSS56076.1	Tardis
blaper1_3160_3159	Tardis
cocimm2_KMU76246.1_KMU76247.1	Tardis
eurrub1_525771	Tardis
aspcos3_tyr926	Tardis
endpus1_4215	Tardis
endpus1_7577	Tardis
phachl1_tyr9076	Tardis
capepi1_1814	Tardis
delstr1_295949	Tardis
zymtri5_SMR62249.1	Tardis
erebil1_192051	Tardis
erebil1_462223_462224_210623	Tardis
artoli1_7049	Tardis
orboli2_tyr8545	Tardis
orboli2_TGJ70084.1	Tardis
daccio1_otherdc0103420	Tardis
umbpus1_103234	Tardis
cocimm1_tyr4120	Tardis
parbra1_581_582	Tardis
emeafr1_OAX85254.1	Tardis
parlut1_5370	Tardis
blaper1_6779	Tardis
parlut1_5348	Tardis
blaper1_6736	Tardis
blaper1_5882	Tardis
blaper1_675	Tardis
blader3_6950_6951	Tardis
parbra1_6508	Tardis
blaper1_4528	Tardis
cocpos5_KMM73308.1	Tardis
ascnig1_307582	Tardis
ascnig1_383553	Tardis
wilmik1_113864	Tardis
stacha2_KFA51963.1	Serenity
staele1_490642	Serenity
cyloli1_552812	Serenity
monsp.2_RYP32009.1	Serenity
monsp.8_tyr8373	Serenity
verdah2_tyr10676	Serenity
verlon1_20430	Serenity
plecuc2_353822	Serenity
madmyc1_9294	Serenity
monsp.4_RYP58605.1	Serenity
fussub5_tyr6719	Serenity
fustan1_tyr6732	Serenity
neodit1_2170	Serenity
hirrho1_KAH0968669.1	Serenity
hirrho1_KAH0968736.1	Serenity
leclec1_6727	Serenity
madmyc1_9889	Serenity
sclcep1_KAF7866863.1	Serenity
sclcep1_KAF7870603.1	Serenity
botpor2_tyr3657	Serenity
amyenc1_547861	Serenity
cadmal1_KAG4411212.1	Serenity
psesp.14_KFY31966.1	Serenity
psesp.14_tyr9380	Serenity
psesp.5_10301	Serenity
lepsp.1_529980_636753	Serenity
rhesp.1_14923	Serenity
cadsp.2_KAG4439199.1	Serenity
amores1_PSS18287.1	Serenity
oidmai1_93661	Serenity
hymalb1_CAG8977711.1	Serenity
pesfic1_5930	Serenity
xylcur2_595032	Serenity
micbol1_109359	Serenity
cengeo1_591310	Serenity
cengeo1_tyr3807	Serenity
cengeo1_tyr3819	Serenity
cengeo1_566735	Serenity
cengeo1_542205	Serenity
cengeo1_589484_589527_521781	Serenity
cengeo1_tyr3818	Serenity
leppal1_OCK79459.1	Serenity
leppal1_tyr7885	Serenity
lizemp1_160652	Serenity
lizemp1_186564	Serenity
pyrtri9_PZD23847.1	Serenity
pletra1_KAF2844130.1	Serenity
altgai1_tyr159	Serenity
moncan1_RYO85021.1	Serenity
pyrtri1_EDU47821.1	Serenity
didker1_KAF3049100.1	Serenity
polfus1_599705	Serenity
verena1_584247	Serenity
zoprhi1_tyr10970	Serenity
amnlig1_424037	Serenity
permac1_607348_577860	Serenity
bimnov1_554665_388559	Serenity
bimnov1_60159_363215	Serenity
lopmac1_KAF2650664.1	Serenity
cloaqu1_tyr4087	Serenity
polfus1_606100	Serenity
lenflu1_KAF2679993.1_KAF2679994.1	Serenity
claban1_134700	Serenity
oidmai1_137687	Serenity
helsp.4_KAE8442194.1	Serenity
cocimm1_tyr4125	Prometheus
cocpos5_KMM68959.1	Prometheus
uncree2_tyr10647	Prometheus
triequ1_7282	Prometheus
triton1_5425	Prometheus
hiscap3_QSS69343.1_ncRNA10612	Prometheus
hiscap5_EER37235.1	Prometheus
hiscap4_tyr7429	Prometheus
emmcre2_KKZ61489.1	Prometheus
hiscap1_tyr7384	Prometheus
aspell2_tyr1085	Prometheus
aspuda6_tyr3046	Prometheus
aspnom1_125579_139535	Prometheus
asppho1_RDK41021.1	Prometheus
aspory2_EIT83020.1_EIT83023.1	Prometheus
aspory7_tyr2325	Prometheus
talatr1_4403	Prometheus
talsti1_5901	Prometheus
talmar2_KFX41220.1	Prometheus
fussp.6_KAF5007163.1	Prometheus
talmar2_KFX41117.1_lncRNA0700070	Prometheus
aspasp7_tyr613	Prometheus
paeniv1_60818	Prometheus
aspflo1_tyr1229	Prometheus
penroq1_3856	Prometheus
aspwes1_tyr3212	Prometheus
pencam1_9182_9183	Prometheus
pencam1_5738	Prometheus
pennal1_11775	Prometheus
penzon1_tyr9052	Prometheus
paeniv1_62125	Prometheus
aspara2_tyr470	Prometheus
aspuda6_tyr3047	Prometheus
aspber2_KAE8379024.1	Prometheus
eurrub1_405644_415988	Prometheus
pensol2_2141_2142	Prometheus
pensp.9_tyr8981	Prometheus
asptam4_tyr2840	Prometheus
blader3_tyr3427	Prometheus
cocpos2_6003	Prometheus
elagra2_2112	Prometheus
aspasp2_tyr555	Prometheus
asppar5_tyr2394	Prometheus
aspnom1_155723	Prometheus
asppar13_tyr2371	Prometheus
aspter9_tyr2936	Prometheus
pensub1_OKP09913.1_OKP09914.1	Prometheus
penthy1_208992	Prometheus
talrug1_QKX60769.1	Prometheus
artunc1_KAF3484272.1	Prometheus
artunc1_KAF3492095.1	Prometheus
blader5_EQL29727.1	Prometheus
hiscap1_tyr7371	Prometheus
altatr1_CAG5179564.1	Prometheus
altlon1_tyr172	Prometheus
bipmay2_EMD88483.1	Prometheus
zoprhi1_KAF2184210.1	Prometheus
zoprhi1_tyr11022	Prometheus
xylhev1_246969_246970	Prometheus
linrhi1_417195	Prometheus
treper1_542511	Prometheus
lopnuc1_509612_608368_655764	Prometheus
mytres1_375477	Prometheus
mytres1_384697	Prometheus
mytres1_388358_388424	Prometheus
mytres1_491224	Prometheus
cloaqu1_495597	Prometheus
byscir1_tyr3672	Prometheus
bimnov1_585611	Prometheus
bimnov1_tyr3321	Prometheus
cloaqu1_tyr4081	Prometheus
zoprhi1_KAF2184180.1_KAF2184181.1	Prometheus
altarb7_tyr109	Prometheus
altgai1_tyr158	Prometheus
ascrab1_tyr338	Prometheus
bipmay1_ENH98990.1	Prometheus
cocmiy1_41658	Prometheus
lizemp1_168641	Prometheus
pyrtri5_tyr9846	Prometheus
lenflu1_KAF2676861.1	Prometheus
leppal1_OCK73338.1	Prometheus
ascrab1_tyr340	Prometheus
gloste1_222527	Prometheus
cengeo1_tyr3834	Prometheus
cengeo1_tyr3835	Prometheus
cengeo1_tyr3876	Prometheus
virvir1_tyr10748	Prometheus
linrhi1_396397	Prometheus
totfus1_729837_333907_645645	Prometheus
cadsp.2_tyr3757	Prometheus
lepsp.1_550109_673825	Prometheus
calmar1_178488	Prometheus
phisco1_133811	Prometheus
rhesp.1_414138_414213	Prometheus
rhysec1_tyr10006	Prometheus
rhesp.1_201867_520848_520851	Prometheus
trihir1_KAH0563021.1	Prometheus
calmar1_577054	Prometheus
lachya1_TVY25215.1	Prometheus
melbic1_tyr8098	Prometheus
acemac1_707798	Prometheus
lacari1_TVY13717.1	Prometheus
trihir1_KAH0563164.1_KAH0563163.1	Prometheus
rhysec1_tyr10005	Prometheus
lacari1_TVY12806.1	Prometheus
lachya1_TVY22339.1	Prometheus
oidmai1_62373_62374	Prometheus
aspfum16_tyr1326	Prometheus
asplen8_tyr1771	Prometheus
aspoer1_tyr2236	Prometheus
asplep2_tyr1825	Prometheus
aspnid4_tyr2028	Prometheus
Starship-2_Afla-Captain	Prometheus
aspfum15_tyr1314	Prometheus
aspscl6_tyr2635	Prometheus
pennor1_tyr8865	Prometheus
raseme1_KKA16204.1	Prometheus
blaper1_2381	Prometheus
blaper1_9954	Prometheus
hiscap1_tyr7335	Prometheus
cocimm3_KMU92327.1_KMU92328.1	Prometheus
emmcre2_KKZ60871.1	Prometheus
pensp.11_PCG88942.1	Prometheus
xylcf.1_507826	Prometheus
xylcub1_494674	Prometheus
xylsp.2_355315	Prometheus
neocla1_KAF7521542.1	Prometheus
diaamp1_tyr4650	Prometheus
xylsp.15_432324	Prometheus
crypar1_KAF3768443.1	Prometheus
diaamp1_10693	Prometheus
diabat1_KAG8157681.1_KAG8157653.1	Prometheus
xylpal1_601133	Prometheus
xylacu1_521853	Prometheus
xylsp.9_38763_718660	Prometheus
xylcf.2_534528_534527	Prometheus
xyltel1_567555	Prometheus
funsp.2_GAW15977.1	Prometheus
xylgra1_359715	Prometheus
xylcf.2_551827	Prometheus
xyllon1_530278	Prometheus
xylsp.15_427122	Prometheus
kredeu1_621827	Prometheus
xylarb1_430476_471988	Prometheus
diacit1_KAG6358485.1	Prometheus
xylsp.11_322789	Prometheus
staele1_500552	Prometheus
xylsp.18_tyr10859	Prometheus
beabas2_KGQ12276.1	Prometheus
hirrho1_KAH0961187.1	Prometheus
toloph1_1610	Prometheus
fusrus1_tyr6576	Prometheus
metbru1_tyr8161	Prometheus
pocchl2_RZR61296.1	Prometheus
toloph1_3948	Prometheus
colspi1_tyr4386	Prometheus
coltof2_11826_11827	Prometheus
xylsp.19_237375	Prometheus
colcam1_tyr4276	Prometheus
kredeu2_517727	Prometheus
mictri1_425164	Prometheus
fusave8_tyr5272	Prometheus
fusmus1_tyr6092	Prometheus
fusfus65_tyr5881	Prometheus
fusoxy29_474803	Prometheus
fusinc2_tyr6003	Prometheus
fususs4_tyr6846	Prometheus
Starship-1_Foxy_Fo5176-Captain	Prometheus
fusequ4_tyr5487	Prometheus
fuscer2_tyr5355	Prometheus
fusequ5_tyr5495	Prometheus
metmaj1_2504_2505	Prometheus
fusasi4_tyr5247	Prometheus
fuspro7_tyr6510	Prometheus
fusste1_tyr6701	Prometheus
fussp.5_KAF5611984.1	Prometheus
fuscir3_tyr5363	Prometheus
fustup1_tyr6815	Prometheus
fusfus29_tyr5699	Prometheus
fusfus31_tyr5729	Prometheus
dacmac1_659788	Prometheus
parbra1_3446	Prometheus
parbra2_EEH47566.2	Prometheus
blaper1_3581	Prometheus
parbra2_KGM92451.1_KGM92452.1	Prometheus
blaper1_1788	Prometheus
emmcre2_KKZ63868.1_KKZ63869.1	Prometheus
asplat5_tyr1682	Prometheus
aspnid3_tyr2023	Prometheus
aspqua1_tyr2553	Prometheus
pesfic1_tyr9064	Prometheus
penbra1_tyr8704	Prometheus
penbra1_tyr8712	Prometheus
talmar2_KFX47975.1	Prometheus
talpin1_KAF3401258.1	Prometheus
asphan1_tyr1478	Prometheus
aspter9_tyr2940	Prometheus
psevol1_tyr9689	Prometheus
elagra2_5163_5164	Prometheus
elagra2_tyr4808	Prometheus
aspnig13_tyr2056	Prometheus
asppse7_288767_264632	Prometheus
asplep2_tyr1824	Prometheus
asplat4_tyr1663	Prometheus
aspqua1_tyr2555	Prometheus
aspasp12_tyr525	Prometheus
aspnov3_tyr2189	Prometheus
aspfum12_tyr1266	Prometheus
asphir2_tyr1511	Prometheus
aspfla13_tyr1195	Prometheus
penroq1_4089	Prometheus
penrub1_CAP94151.1	Prometheus
penoxa1_6225	Prometheus
blader3_7891_7892	Prometheus
emepas2_OJD10625.1	Prometheus
hiscap4_ncRNA10775_ncRNA10776	Prometheus
parlut1_7852	Prometheus
emepas2_OJD09878.1_OJD09879.1	Prometheus
blaper1_3939	Prometheus
hiscap10_KAG5294641.1	Prometheus
parbra2_EEH48327.2	Prometheus
parbra1_2719	Prometheus
blader5_EQL32851.1	Prometheus
polhys1_6343	Prometheus
hiscap10_KAG5292110.1_KAG5292111.1_KAG5292112.1	Prometheus
blaper1_5932	Prometheus
emmcre2_KKZ61922.1	Prometheus
cudaci1_KAF4625152.1	Prometheus
rutsp.1_PQE27284.1	Prometheus
psesp.16_tyr9418	Prometheus
psesp.18_KFY46141.1_KFY46142.1	Prometheus
rhieri1_750159	Prometheus
cadsp.1_471581	Prometheus
botdot1_290492	Prometheus
lasthe1_tyr7811	Prometheus
lasthe3_KAB2568541.1	Prometheus
frisim1_TKA68777.1	Prometheus
frisim1_TKA79242.1	Prometheus
racant1_OQN95408.1	Prometheus
baupan1_EMC97231.1	Prometheus
cerber1_6038	Prometheus
cerber1_tyr3938	Prometheus
neoaci1_KAF2486406.1	Prometheus
racant1_OQN95439.1	Prometheus
neoaci1_KAF2478441.1_KAF2478442.1	Prometheus
zascel1_30718	Prometheus
zascel1_tyr10949	Prometheus
hetspe1_CAF9942110.1	Prometheus
psehyp1_505659	Prometheus
pensp.11_tyr8960	Prometheus
talcel1_GAM41794.1	Prometheus
talver1_KUL81733.1	Prometheus
aspasp7_tyr614	Prometheus
aspory7_tyr2327	Prometheus
aspwen1_OJJ29631.1	Prometheus
asppho1_RDK41012.1	Prometheus
asptan1_tyr2879	Prometheus
aspsoj2_tyr2667	Prometheus
aspust1_tyr3098	Prometheus
aulhed1_KAF1980648.1	Prometheus
rhilig1_72239	Prometheus
exooli1_139439_139440_139441_139442_139443	Prometheus
exosid1_tyr5117	Prometheus
exoxen1_tyr5127	Prometheus
exooli1_139457_139458_139459_139460	Prometheus
endpal1_11393_11394	Prometheus
talpin1_KAF3392106.1	Prometheus
talrug1_tyr10331	Prometheus
elagra2_6724	Prometheus
imsale1_tyr7676	Prometheus
grascr1_10188	Prometheus
clagra1_11292	Prometheus
mictri1_288833	Enterprise
psevex1_489986	Enterprise
xylbam1_587822	Enterprise
xylpal1_613315	Enterprise
clorhi1_VUC09346.1	Enterprise
tolpar1_tyr10471	Enterprise
bismed2_654338	Enterprise
verlon1_10996_10997	Enterprise
pocchl2_RZR64022.1	Enterprise
colaen1_KAF5522205.1	Enterprise
colsco1_tyr4368	Enterprise
talrug1_QKX61611.1	Enterprise
blaper1_810	Enterprise
talsti1_4992	Enterprise
exooli1_142270_142271	Enterprise
phlsp.1_1968385	Enterprise
phlsp.1_tyr9122	Enterprise
laccf.1_1280066	Enterprise
rhoros1_675464_701269	Enterprise
tersp.5_KAG6901097.1	Enterprise
tulsp.7_KAG8994973.1	Enterprise
grascr1_10749_10750	Enterprise
psevol1_tyr9664	Enterprise
leosp.1_712301	Enterprise
Starship-1_Llup-Captain	Enterprise
letlup1_KAF6222261.1	Enterprise
fusfus65_tyr5879	Enterprise
fustri7_tyr6779	Enterprise
fusequ9_tyr5516	Enterprise
gaetri1_EJT68898.1	Enterprise
gaetri1_EJT69642.1	Enterprise
Enterprise_Pans-Captain	Enterprise
cudaci1_KAF4627340.1	Enterprise
fushos2_tyr5966	Enterprise
fussp.4_KAF9773401.1_KAF9773402.1	Enterprise
fuscor2_tyr5424	Enterprise
fusfus37_tyr5753	Enterprise
fusfus35_tyr5744	Enterprise
fusnem1_tyr6108	Enterprise
phamin1_tyr9087	Enterprise
Starship-2_Cpsa-Captain	Enterprise
altgan2_tyr166	Enterprise
mytres1_479663	Enterprise
micmic1_140246	Enterprise
rutsp.3_PQE10464.1_PQE10450.1	Enterprise
mictri1_249983	Enterprise
pesfic1_1296	Enterprise
aspthe1_tyr2958	Enterprise
exomes1_113733_113734_113735_113736_113737_113738	Enterprise
alefal1_CAF9915422.1	Enterprise
amyenc1_432340_521054	Enterprise
gluame1_KAH0541585.1	Enterprise
aspasp7_tyr618	Enterprise
emeafr1_OAX79438.1	Enterprise
helgri1_1499	Enterprise
trimen1_4468	Enterprise
trisou1_9405	Enterprise
talrug1_QKX60504.1	Enterprise
gluame1_tyr7131	Enterprise
zoprhi1_KAF2195618.1	Enterprise
fusfus25_tyr5667	Enterprise
fusmet1_tyr6076	Enterprise
fuscor2_tyr5423	Enterprise
purlil1_tyr9695	Enterprise
ilysp.1_592848_824996	Enterprise
stalon1_KAG7284893.1	Enterprise
magory1_2081_2080	Enterprise
pyrsp.2_TLD09608.1_TLD09609.1	Enterprise
pyrpen1_TLS25962.1	Enterprise
fusalb1_KAF4458660.1	Enterprise
sceapi1_tyr10060	Enterprise
xylcf.1_280771_507006	Enterprise
xyltel1_515037_515045	Enterprise
consp.1_1014526	Enterprise
chlaer1_TAQ83756.1	Enterprise
gloste1_228597	Enterprise
lacwil1_tyr7768	Enterprise
rhieri1_658879	Enterprise
Starship-1_Fnub-Captain	Enterprise
cypeur1_118335	Enterprise
psesp.5_10696	Enterprise
psesp.8_7699	Enterprise
psesp.2_9155	Enterprise
psesp.4_1253_1254	Enterprise
fonere1_5544_5545	Enterprise
coltof2_tyr4409	Enterprise
corcas2_PSN61909.1	Enterprise
pyrory1_EHA47044.1	Enterprise
pyrory3_ELQ32919.1	Enterprise
pyrory1_EHA55112.1_EHA55113.1	Enterprise
ophpic1_tyr8517	Enterprise
xyldig1_515723	Enterprise
acemac1_478033	Enterprise
acemac1_585016	Enterprise
claimm1_tyr4064	Enterprise
exooli1_137898	Enterprise
cypeur1_111219	Enterprise
exooli1_137943_137944	Enterprise
aspasp2_tyr558	Enterprise
aspibe2_tyr1544	Enterprise
aspawa2_tyr663	Enterprise
aspcej1_tyr842	Enterprise
aspnid1_CBF82971.1	Enterprise
aspspi1_tyr2725	Enterprise
elagra2_tyr4827	Enterprise
elagra2_tyr4839	Enterprise
penexp2_2586	Enterprise
hiscap1_5913	Enterprise
polhys1_3689	Enterprise
uncree2_EEP83037.1	Enterprise
talmar2_KFX50176.1	Enterprise
aspnig5_tyr2095	Enterprise
hiscap1_5928	Enterprise
penbra1_3631	Enterprise
penroq1_7137_7138	Enterprise
penthy1_174382	Enterprise
aspfum5_tyr1395	Enterprise
asplat7_tyr1723	Enterprise
aspter10_tyr2885	Enterprise
asplen8_tyr1773	Enterprise
aspoch5_tyr2231	Enterprise
aspasp11_tyr514	Enterprise
aspter10_tyr2888	Enterprise
asplen8_tyr1775	Enterprise
aspgla1_OJJ81546.1	Enterprise
aspfis5_tyr1170	Enterprise
aspuda4_tyr3016	Enterprise
asplat6_tyr1698	Enterprise
aspnid1_CBF75942.1_CBF75944.1_CBF75946.1	Enterprise
asppuu1_tyr2548	Enterprise
aspscl6_tyr2634	Enterprise
aspcor3_tyr920	Enterprise
aspche2_tyr892	Enterprise
emmcre2_KKZ61741.1	Enterprise
grascr1_11513	Enterprise
grascr1_5194_5195	Enterprise
psesp.14_KFY20107.1	Enterprise
psesp.5_187	Enterprise
psesp.11_tyr9301	Enterprise
psesp.22_KFZ20555.1	Enterprise
psesp.20_KFY66944.1	Enterprise
psesp.5_1992	Enterprise
psesp.4_1827_1828	Enterprise
psesp.4_tyr9584	Enterprise
psesp.3_1735	Enterprise
psesp.5_712	Enterprise
psesp.17_KFZ02619.1	Enterprise
psesp.14_KFY31799.1	Enterprise
psesp.15_KFY57135.1_KFY57136.1	Enterprise
psesp.4_tyr9579	Enterprise
beabas1_10106	Galactica
mictri1_252258	Galactica
torhem1_9920	Galactica
stacha1_4873	Galactica
metacr1_2241	Galactica
pocchl3_OAQ57905.2	Galactica
fusneo1_tyr6117	Galactica
fussp.8_RSL81990.1	Galactica
fusver2_EWG46573.1	Galactica
metmaj1_tyr8185	Galactica
fusfus45_tyr5796	Galactica
fusoxy44_KAG7415401.1_KAG7415409.1	Galactica
fusoxy36_RKK64490.1	Galactica
fusfus45_tyr5792	Galactica
fusman3_tyr6063	Galactica
dacest1_679540	Galactica
dacmac1_17988	Galactica
ilysp.1_683701	Galactica
chaglo1_574115	Galactica
coltof2_tyr4402	Galactica
coltri1_tyr4416	Galactica
colfru5_tyr4312	Galactica
coltru1_KAF6782444.1	Galactica
colnym1_1020188	Galactica
coltof2_2047	Galactica
amores1_PSS18507.1	Galactica
Starship-1_Cpsa-Captain	Galactica
clapsa1_10577	Galactica
